LastName,FirstName,Phone,Acct,Amount,Date
Battle,Tim,(313) 689-9786,BG91667736,$482.30 ,1/1/52
Dickerson,Luella,(101) 316-1580,GM16281661,$199.96 ,5/17/52
Amos,Katherina,(515) 392-2274,UL97498802,$367.68 ,11/14/52
Berman,Many,(515) 379-8553,YR43800386,$952.59 ,8/19/52
Canfield,Lincoln,(515) 603-5504,MK12186071,$482.88 ,2/28/52
Biggs,Otis,(241) 174-6095,IM15206613,$259.65 ,1/29/52
Barron,Narcisa,(515) 274-7452,QF85885562,$373.56 ,11/22/52
Allen,Kevin,(241) 671-2950,TF44517735,$396.45 ,1/28/52
Bowen,Cristi,(101) 355-5928,RK50366094,$692.83 ,9/26/52
Gooden,Jacqui,(241) 905-4588,MR75928449,$87.87 ,8/25/52
Ervin,Janice,(313) 515-7957,LH69521263,$675.46 ,11/14/52
Crowe,Branda,(101) 715-4014,GN41641082,$797.77 ,3/23/52
Bentley,Loreta,(101) 287-2500,QM98200111,$227.45 ,9/23/52
Bridges,Thora,(241) 560-2327,HY68618136,$377.44 ,2/6/52
Andersen,Hunter,(241) 954-7546,KM37181533,$540.74 ,3/2/52
Diggs,Wilber,(241) 417-7163,VA42740686,$885.11 ,7/31/52
Gallant,Ross,(313) 358-6472,GQ96210531,$932.30 ,9/5/52
Crist,Silvia,(241) 667-8936,FG69201952,$573.90 ,10/29/52
Carranza,Kaye,(985) 523-5332,BS94471194,$941.70 ,2/17/52
Goodwin,Errol,(313) 841-8291,RR65548779,$979.92 ,4/12/52
Cheatham,Jon,(101) 348-7625,ME86017666,$151.98 ,7/20/52
Bullock,Juliann,(985) 800-9578,TQ11308364,$79.77 ,3/9/52
Goldstein,Logan,(313) 335-1671,OD91867546,$607.50 ,7/15/52
Daniel,Shara,(241) 935-1321,TX51241726,$260.45 ,4/16/52
Faulkner,Betsy,(985) 892-4635,JG49363981,$773.10 ,12/31/52
Blanton,Devorah,(101) 515-3331,EJ98382954,$963.78 ,12/17/52
Agee,Kathlyn,(313) 968-7343,TO75951072,$59.50 ,8/15/52
Colon,Sharice,(313) 612-3883,BJ87317821,$779.59 ,2/11/52
Espinoza,Dani,(515) 136-8426,FP63860845,$62.43 ,3/11/52
Case,Mallie,(101) 241-5403,DJ92062431,$408.97 ,4/11/52
Ellison,Kelvin,(515) 689-2538,EJ91177172,$888.84 ,3/14/52
French,Mckinley,(985) 909-3521,IR62109871,$59.54 ,9/8/52
Burton,Krista,(313) 968-2752,WW59262734,$933.50 ,11/17/52
Banks,Milo,(985) 777-1272,TC88239868,$368.43 ,12/13/52
Deal,Huong,(515) 722-1690,UK81771435,$978.34 ,10/6/52
Bynum,Loise,(515) 756-5273,RM68037608,$746.15 ,5/10/52
Chung,Gudrun,(985) 576-9773,KV17844389,$273.35 ,12/15/52
Goodwin,Penni,(101) 802-3797,OR15637798,$559.98 ,5/26/52
Casey,Judith,(101) 351-5085,LF80962174,$116.93 ,8/10/52
Buford,Rogelio,(101) 203-9561,GK12567993,$733.30 ,1/12/52
Funk,Ronald,(313) 330-2600,OV86214287,$781.82 ,12/15/52
Garrett,Mariko,(241) 610-6548,YE67130251,$840.68 ,10/20/52
Barr,Numbers,(101) 726-8007,EA25708427,$889.63 ,4/18/52
Connor,Chris,(101) 295-5024,FJ60665155,$511.31 ,9/30/52
Coley,Sydney,(241) 569-2960,YS21557399,$197.36 ,12/5/52
Boyer,Murray,(101) 339-6337,YK70209446,$438.64 ,5/16/52
Cody,Isela,(241) 685-7182,LE30056709,$554.46 ,5/9/52
Chandler,Collette,(985) 406-5729,QR13661460,$953.71 ,7/16/52
Donald,Louetta,(313) 124-4639,DB86963673,$865.30 ,2/25/52
Faulk,Glennie,(313) 671-9996,EG14255403,$543.10 ,6/25/52
Barrera,Johanna,(313) 663-7188,IA16027525,$323.25 ,1/3/52
Carson,Taren,(985) 767-2493,BB79467632,$896.34 ,2/12/52
Deloach,Lauren,(313) 109-3690,NG11584399,$287.28 ,6/24/52
Broughton,Remona,(101) 432-9844,HI30882321,$362.66 ,10/28/52
Chaney,Renita,(241) 138-6641,RM74636335,$314.41 ,6/1/52
Bruce,Phebe,(313) 565-1964,TF99188405,$164.92 ,12/6/52
Finn,Lucinda,(241) 470-7003,YV86552937,$439.23 ,6/21/52
Crisp,Kathyrn,(101) 484-9274,CU10440842,$838.00 ,11/13/52
Escamilla,Zola,(515) 323-3179,UJ79837751,$307.87 ,5/21/52
Aldrich,Terresa,(241) 177-5521,MS82367152,$736.99 ,4/26/52
Anders,Leola,(515) 755-5868,ZP21862867,$241.26 ,9/7/52
Cheney,Christinia,(241) 718-2864,ZG58579357,$76.23 ,9/2/52
Andrade,Sherika,(313) 818-7123,NV37246113,$929.99 ,6/6/52
Cohen,Carry,(515) 605-5778,CT89191190,$408.88 ,7/11/52
Burroughs,So,(985) 391-2076,HD35006136,$337.82 ,7/7/52
Corbett,Kara,(101) 955-4450,HB11769401,$11.58 ,1/12/52
Blount,Ophelia,(101) 851-8892,RN14379973,$801.61 ,10/30/52
Banda,Yuonne,(985) 541-3720,ND35387619,$697.74 ,2/17/52
Betts,Lynsey,(515) 499-6551,ET96303673,$923.42 ,8/30/52
Burrell,Dannie,(241) 291-2307,JL98291339,$408.78 ,11/16/52
Goss,Eartha,(241) 847-5158,IS39713761,$60.15 ,2/14/52
Doe,Elbert,(241) 539-6006,YW47906684,$895.34 ,8/3/52
Dowd,Mollie,(515) 113-3689,FL62940071,$387.66 ,12/5/52
Bryan,Halley,(985) 925-2317,KD95214880,$581.17 ,3/30/52
Fischer,Natividad,(101) 234-1506,OJ18140162,$432.30 ,5/25/52
Galvan,Jammie,(515) 202-2254,UU83904764,$637.43 ,9/2/52
Deloach,Easter,(101) 549-1568,CL23445309,$707.77 ,12/27/52
Dominguez,Tasia,(241) 558-6101,CJ69470186,$779.26 ,6/22/52
Gabriel,Devora,(985) 855-8023,OJ34209798,$534.46 ,12/15/52
Dunn,Patty,(313) 734-3294,WG70412056,$308.78 ,7/21/52
Fish,Tressa,(313) 903-4247,BN67007643,$685.10 ,7/8/52
Fagan,Annette,(101) 662-6327,XS93653551,$619.14 ,12/9/52
Burleson,Randolph,(985) 816-7309,YC41080386,$411.10 ,5/9/52
Baum,Annmarie,(313) 429-7056,KL94155277,$967.43 ,1/24/52
Benson,Caitlyn,(101) 468-9424,NP38555595,$129.69 ,9/17/52
Devore,Carl,(313) 362-6201,JJ84156947,$825.16 ,8/13/52
Chang,Susana,(101) 395-2678,BZ21714765,$987.65 ,7/1/52
Alaniz,Roxana,(515) 713-7754,SL41710877,$698.35 ,4/20/52
Giles,Camila,(985) 517-9611,CB55120826,$389.20 ,12/13/52
Fortner,Elizebeth,(985) 642-4947,OK73349838,$69.70 ,9/21/52
Enriquez,Sandee,(515) 463-1441,AK31565268,$597.44 ,5/28/52
Buckner,Harland,(101) 167-2705,TH83429148,$11.80 ,10/18/52
Carr,Anabel,(101) 594-3416,SI55060544,$970.85 ,6/25/52
Collier,Kina,(515) 966-5142,MQ47774389,$603.51 ,11/14/52
Garvin,Tameka,(241) 877-2568,GU48960388,$689.70 ,2/9/52
Churchill,Shenna,(101) 942-3839,RL79150533,$707.21 ,3/1/52
Easley,Cordie,(515) 518-1049,QY70133930,$559.18 ,7/7/52
Bobo,Danika,(241) 209-2685,QL75792152,$560.55 ,5/18/52
Bates,Matha,(313) 705-3838,FK45236603,$804.60 ,4/5/52
Boykin,Jannette,(515) 976-1493,NP13533697,$119.95 ,3/3/52
Cornish,Carolee,(515) 187-9703,HF37883924,$92.45 ,6/25/52
Briggs,Camilla,(313) 668-7289,YR83480689,$862.54 ,2/1/52
Eubanks,Moses,(101) 374-9434,EO61448227,$840.33 ,9/9/52
Bernard,Sharleen,(101) 498-5451,IT67219285,$15.47 ,5/28/52
Bartley,Rebekah,(101) 337-6572,RF44675396,$521.91 ,4/3/52
Gentile,Magdalen,(313) 163-6000,WA16762257,$476.10 ,5/1/52
Biddle,Normand,(101) 927-4687,GC27224716,$854.21 ,8/10/52
Fournier,Zulema,(241) 578-5896,DW23040271,$225.47 ,12/23/52
Archuleta,Stacee,(313) 912-1433,AO30413985,$501.36 ,10/28/52
Blocker,Deshawn,(241) 201-7014,JW60372780,$174.91 ,11/19/52
Angel,Brant,(985) 126-4722,FU11871999,$315.64 ,6/29/52
Flowers,Linh,(313) 772-6407,BL76826948,$44.56 ,11/17/52
Brennan,Latina,(313) 536-2115,CG89142590,$256.63 ,2/3/52
Cruz,Astrid,(313) 372-3573,UV46494175,$77.99 ,10/6/52
Betancourt,Georgetta,(985) 598-8743,FE15638343,$513.32 ,9/5/52
Bonner,Charlott,(313) 596-6651,SE43286034,$611.18 ,2/12/52
Coffman,Ezra,(313) 882-3289,OG72384422,$578.66 ,9/1/52
Craft,Yon,(515) 487-4583,FW35379821,$301.35 ,3/25/52
,,,,,
